incentive,private,grade,table,table_size,table_incentive_pr,grape,grape2,cluster,strata,sex,race,lunch,dg,sw,sc,male,group,sex_mf,grade_mod,black,hispanic,free,public,above_grade_median,nosurvey,dbestfriend,dbestfriend_i,dpopular,dpopular_i,tpr_own,Switched,Stayed
1,0,3,223,3,1,0,0,216,19,2,3,2,0,0,0,0,8,0,3,0,1,1,1,0,0,0,0,0,0,0.3333333432674408,Not Changed,Stayed Cookie
1,0,7,62,3,0.6666666865348816,1,1,76,7,3,3,2,0,0,0,1,6,1,7,0,1,1,1,1,0,1,1,0,0,0.6666666865348816,Not Changed,Stayed Grape
0,0,8,81,3,0.3333333432674408,1,1,85,7,3,3,2,0,0,0,1,5,1,8,0,1,1,1,1,0,1,1,1,0,0,Not Changed,Stayed Grape
0,0,6,188,3,0,1,1,202,18,2,3,2,0,0,0,0,2,0,6,0,1,1,1,1,0,0,0,1,0,0,Not Changed,Stayed Grape
0,0,7,79,3,0,1,1,84,7,2,3,2,0,0,0,0,2,0,7,0,1,1,1,1,0,1,0,0,0,0,Not Changed,Stayed Grape
1,0,8,81,3,0.3333333432674408,1,0,85,7,2,2,3,-1,0,1,0,6,0,8,1,0,0,1,1,0,1,0,1,1,0.3333333432674408,Grape to Cookie,Changed
1,0,1,17,4,1,1,1,3,1,2,3,2,0,0,0,0,8,0,1,0,1,1,1,0,0,1,1,1,1,0.75,Not Changed,Stayed Grape
1,0,2,80,4,1,0,0,71,6,3,3,3,0,0,0,1,8,1,2,0,1,0,1,0,1,0,0,0,0,0.75,Not Changed,Stayed Cookie
0,0,5,253,4,0,0,0,263,24,2,3,2,0,0,0,0,2,0,5,0,1,1,1,1,0,1,0,0,0,0,Not Changed,Stayed Cookie
0,0,1,27,4,0.5,1,1,7,1,2,3,2,0,0,0,0,5,0,1,0,1,1,1,0,0,1,1,0,0,0.5,Not Changed,Stayed Grape
0,0,6,89,4,0,0,0,89,7,3,3,2,0,0,0,1,2,1,6,0,1,1,1,1,0,1,0,0,0,0,Not Changed,Stayed Cookie
1,0,0,256,4,1,1,1,241,22,2,2,2,0,0,0,0,8,0,0,1,0,1,1,0,1,0,0,0,0,1,Not Changed,Stayed Grape
